id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw,actual_points
41,Buendía,3,2.3,5.9,2.3,2,a,100.0,1.0,6.3,5.0,40.3,24.0,0.78,0.16,0.94,249,15,3,3.0,1,4,2
44,Bailey,3,0.0,5.4,0.0,2,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
45,McGinn,3,1.7,5.4,1.7,2,a,100.0,2.3,3.3,3.0,20.0,15.0,0.77,0.09,0.86,261,16,3,3.0,1,4,6
46,Barkley,3,2.3,5.0,2.3,2,a,100.0,0.3,13.9,35.8,78.8,24.0,0.35,0.13,0.48,240,49,3,3.0,1,4,2
47,Kamara,3,2.3,5.0,2.3,2,a,100.0,0.3,7.9,35.4,43.2,0.0,0.0,0.1,0.1,270,42,3,3.0,1,4,2
48,Onana,3,0.0,5.0,0.0,2,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
49,Iling Jr,3,0.0,5.0,0.0,2,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
50,Burrowes,3,0.0,4.5,0.0,2,a,100.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
51,George Hemmings,3,2.3,4.5,2.3,2,a,100.0,1.2,7.5,23.2,29.4,23.0,0.07,0.15,0.22,234,29,3,3.0,1,4,1
52,Alysson,3,0.7,5.0,0.7,2,a,100.0,0.0,1.0,5.4,2.6,2.0,0.0,0.0,0.0,42,10,1,3.0,1,4,6
53,Manzambi,3,0.0,5.9,0.0,2,i,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,1
54,Gomes,3,-0.7,5.5,-2.0,2,s,0.0,0.0,1.2,1.0,11.0,0.0,0.0,0.01,0.01,39,-2,0,3.0,1,4,0
55,Watkins,4,0.0,7.8,0.0,2,u,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
56,Abraham,4,0.7,5.5,1.0,2,a,100.0,0.2,0.4,2.0,2.3,0.0,0.0,0.0,0.0,24,6,1,3.0,1,4,1
160,Garnacho,3,1.0,5.9,1.0,2,a,100.0,0.4,0.5,1.2,3.6,0.0,0.0,0.0,0.0,31,9,1,3.0,1,4,0
166,N.Jackson,4,1.3,6.5,2.0,2,a,100.0,1.1,5.1,5.4,23.4,22.0,0.24,0.54,0.78,154,21,2,3.0,1,4,0
582,Madjo,4,0.0,5.5,0.0,2,i,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
596,Ruggeri,2,0.7,4.5,1.0,2,a,100.0,0.1,0.9,6.6,2.6,0.0,0.0,0.01,0.01,23,6,1,3.0,1,4,0
597,Suzuki,1,4.0,5.0,6.0,2,a,100.0,1.5,4.1,40.8,0.0,0.0,0.0,0.0,0.0,180,46,10,3.0,1,4,2
606,Rowe,2,0.0,4.0,0.0,2,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
607,Lynch,3,0.0,4.5,0.0,2,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
611,Wan-Bissaka,2,1.0,4.5,1.0,2,a,100.0,0.2,0.8,6.4,1.7,0.0,0.0,0.0,0.0,17,7,1,3.0,1,4,3
618,Goretzka,3,0.0,6.0,0.0,2,i,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
630,Harwood-Bellis,2,0.0,4.5,0.0,2,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0,1,4,0
