id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw
1,Raya,1,6.0,6.0,6.0,1,a,100.0,38.1,1.2,11.8,0.0,0.0,0.0,0.0,0.0,90,24,6,4.0,1,2
2,Arrizabalaga,1,0.0,5.0,0.0,1,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
3,Meslier,1,0.0,5.0,0.0,1,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
4,Gabriel,2,5.0,8.0,5.0,1,a,100.0,29.4,0.9,6.6,1.8,1.0,0.05,0.01,0.06,90,21,5,4.0,1,2
5,J.Timber,2,0.0,6.5,0.0,1,i,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
6,Saliba,2,0.0,6.0,0.0,1,i,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
7,Lewis-Skelly,3,3.0,5.5,3.0,1,a,100.0,0.7,4.1,11.0,22.9,7.0,0.06,0.11,0.17,90,15,3,4.0,1,2
8,Calafiori,2,9.0,5.5,9.0,1,a,100.0,41.3,4.2,26.0,12.2,4.0,0.04,0.09,0.13,80,31,9,4.0,1,2
9,Hincapie,2,1.0,5.5,1.0,1,a,100.0,1.6,0.1,0.4,0.5,0.0,0.0,0.0,0.0,9,3,1,4.0,1,2
10,White,2,11.0,5.5,11.0,1,a,100.0,5.9,7.3,33.2,26.8,13.0,0.18,0.21,0.39,90,37,11,4.0,1,2
11,Mosquera,2,6.0,5.5,6.0,1,a,100.0,6.0,1.5,14.4,0.6,0.0,0.0,0.0,0.0,90,27,6,4.0,1,2
12,Saka,3,9.0,9.5,9.0,1,a,100.0,10.3,10.2,42.8,26.1,33.0,0.64,0.08,0.72,67,36,9,4.0,1,2
13,Rice,3,3.0,7.5,3.0,1,a,100.0,17.4,1.5,6.8,6.4,2.0,0.07,0.08,0.15,67,10,3,4.0,1,2
14,Eze,3,1.0,6.5,1.0,1,a,100.0,1.9,0.1,0.0,1.8,1.0,0.04,0.0,0.04,14,4,1,4.0,1,2
15,Ødegaard,3,11.0,6.5,11.0,1,a,100.0,10.8,12.3,50.6,41.5,31.0,0.21,0.1,0.31,75,41,11,4.0,1,2
16,Madueke,3,1.0,6.5,1.0,1,a,100.0,0.3,5.3,9.4,43.1,0.0,0.0,0.04,0.04,22,8,1,4.0,1,2
17,Merino,3,1.0,6.0,1.0,1,a,100.0,0.6,1.9,3.6,1.2,14.0,0.14,0.02,0.16,14,5,1,4.0,1,2
18,Martinelli,3,0.0,6.4,0.0,1,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
19,Zubimendi,3,1.0,5.5,1.0,1,a,100.0,1.0,0.6,3.8,2.3,0.0,0.0,0.02,0.02,22,3,1,4.0,1,2
20,Dowman,3,0.0,5.5,0.0,1,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
22,Nwaneri,3,0.0,5.5,0.0,1,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
23,Fábio Vieira,3,0.0,5.5,0.0,1,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
24,Nelson,3,0.0,5.5,0.0,1,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
25,Gyökeres,4,0.0,7.4,0.0,1,a,100.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
26,Havertz,4,6.0,7.5,6.0,1,a,100.0,7.0,7.5,37.2,13.2,25.0,0.26,0.03,0.29,90,34,6,4.0,1,2
27,G.Jesus,4,0.0,6.0,0.0,1,a,100.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
31,Konsa,2,0.0,4.5,0.0,1,a,100.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
452,Bruno G.,3,0.0,7.0,0.0,1,d,75.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
557,Tzolis,3,6.0,6.5,6.0,1,a,100.0,25.8,8.7,17.0,39.8,30.0,0.19,0.14,0.33,75,30,6,4.0,1,2
28,Martinez,1,0.0,5.0,0.0,2,a,100.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
29,M.Bizot,1,1.0,4.5,1.0,2,a,100.0,0.1,2.8,28.2,0.0,0.0,0.0,0.0,0.0,90,1,1,4.0,1,2
30,Digne,2,0.0,4.5,0.0,2,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
32,Cash,2,-1.0,4.5,-1.0,2,a,100.0,8.1,1.3,12.0,1.1,0.0,0.0,0.0,0.0,90,-8,-1,4.0,1,2
33,Mings,2,1.0,4.5,1.0,2,a,100.0,0.4,0.2,2.0,0.0,0.0,0.0,0.0,0.0,16,5,1,4.0,1,2
34,Pau,2,0.0,4.5,0.0,2,a,100.0,0.4,0.0,0.0,0.7,0.0,0.0,0.0,0.0,73,-14,0,4.0,1,2
35,Bogarde,3,1.0,5.0,1.0,2,a,100.0,0.1,0.3,2.2,0.5,0.0,0.0,0.0,0.0,16,3,1,4.0,1,2
36,Maatsen,2,0.0,4.5,0.0,2,a,100.0,0.8,1.3,9.2,0.8,3.0,0.03,0.0,0.03,81,-9,0,4.0,1,2
37,Lindelöf,2,-2.0,4.5,-2.0,2,a,100.0,0.3,0.2,1.8,0.1,0.0,0.0,0.0,0.0,90,-13,-2,4.0,1,2
38,A.García,2,0.0,4.0,0.0,2,a,100.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
39,Nedeljkovic,2,0.0,4.0,0.0,2,u,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
41,Buendía,3,2.0,6.0,2.0,2,a,100.0,1.3,2.2,0.0,16.3,8.0,0.13,0.09,0.22,85,4,2,4.0,1,2
44,Bailey,3,0.0,5.5,0.0,2,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,2
45,McGinn,3,1.0,5.5,1.0,2,a,100.0,3.0,0.5,1.6,2.4,1.0,0.04,0.01,0.05,81,8,1,4.0,1,2
46,Barkley,3,2.0,5.0,2.0,2,a,100.0,0.2,3.8,9.4,21.4,7.0,0.1,0.02,0.12,73,11,2,4.0,1,2
